symbol,entry_time,exit_time,direction,entry_price,exit_price,quantity,pnl,exit_reason
RELIANCE-EQ,2025-09-22 14:25:00+05:30,2025-09-22 15:10:00+05:30,SHORT,1394.6,1390.2,153,673.1999999999791,End of Day
RELIANCE-EQ,2025-09-29 15:00:00+05:30,2025-09-29 15:10:00+05:30,SHORT,1368.8,1374.5,176,-1003.200000000008,Stop Loss
RELIANCE-EQ,2025-10-16 14:00:00+05:30,2025-10-16 14:45:00+05:30,LONG,1388.2,1395.0000000000002,293,1992.4000000000533,Take Profit
RELIANCE-EQ,2025-10-17 12:10:00+05:30,2025-10-17 12:15:00+05:30,LONG,1421.4,1419.7,598,-1016.6000000000272,Stop Loss
RELIANCE-EQ,2025-11-04 15:00:00+05:30,2025-11-04 15:10:00+05:30,SHORT,1473.3,1471.9,157,219.79999999997858,End of Day
RELIANCE-EQ,2025-11-26 14:00:00+05:30,2025-11-26 14:05:00+05:30,LONG,1567.3,1565.1,458,-1007.6000000000208,Stop Loss
RELIANCE-EQ,2025-11-26 14:10:00+05:30,2025-11-26 14:15:00+05:30,LONG,1567.8,1567.5,3328,-998.3999999998487,Stop Loss
RELIANCE-EQ,2025-11-26 14:40:00+05:30,2025-11-26 14:45:00+05:30,LONG,1565.4,1565.3,9885,-988.5000000013486,Stop Loss
RELIANCE-EQ,2025-11-26 15:00:00+05:30,2025-11-26 15:05:00+05:30,LONG,1569.1,1568.6,1957,-978.5,Stop Loss
TCS-EQ,2025-10-06 14:25:00+05:30,2025-10-06 14:35:00+05:30,LONG,2974.2,2978.999999999999,403,1934.3999999997068,Take Profit
TCS-EQ,2025-10-09 15:00:00+05:30,2025-10-09 15:05:00+05:30,LONG,3059.9,3063.7000000000003,520,1976.0000000000946,Take Profit
TCS-EQ,2025-10-14 12:10:00+05:30,2025-10-14 12:15:00+05:30,SHORT,2969.2,2970.4,840,-1008.0000000002292,Stop Loss
