symbol,entry_time,exit_time,direction,entry_price,exit_price,quantity,pnl,exit_reason
INFY-EQ,2025-12-05 11:50:00+05:30,2025-12-05 12:55:00+05:30,LONG,1627.1,1623.3,263,-999.399999999988,Stop Loss
HINDUNILVR-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,2306.5,2306.6,9900,-989.9999999990996,Stop Loss
HINDUNILVR-EQ,2025-12-08 14:30:00+05:30,2025-12-08 14:35:00+05:30,SHORT,2308.9,2306.9,980,1960.0,Take Profit
SBIN-EQ,2025-12-03 11:30:00+05:30,2025-12-03 11:35:00+05:30,SHORT,948.95,949.5,1817,-999.3499999999174,Stop Loss
SBIN-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:15:00+05:30,SHORT,953.85,955.0,860,-988.9999999999804,Stop Loss
SBIN-EQ,2025-12-08 14:20:00+05:30,2025-12-08 14:25:00+05:30,SHORT,954.3,955.05,1306,-979.5,Stop Loss
SBIN-EQ,2025-12-08 14:45:00+05:30,2025-12-08 14:50:00+05:30,SHORT,954.1,955.2,881,-969.10000000002,Stop Loss
ASIANPAINT-EQ,2025-12-02 14:20:00+05:30,2025-12-02 14:55:00+05:30,LONG,2934.5,2942.1000000000004,252,1915.2000000000917,Take Profit
HCLTECH-EQ,2025-12-05 11:45:00+05:30,2025-12-05 12:45:00+05:30,LONG,1685.6,1690.7999999999997,376,1955.1999999999316,Take Profit
TITAN-EQ,2025-12-03 14:15:00+05:30,2025-12-03 14:25:00+05:30,SHORT,3808.7,3802.2999999999993,312,1996.8000000001703,Take Profit
NESTLEIND-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:30:00+05:30,SHORT,1221.2,1219.2,1019,2038.0,Take Profit
NESTLEIND-EQ,2025-12-08 14:40:00+05:30,2025-12-08 14:45:00+05:30,SHORT,1217.7,1216.5000000000002,1732,2078.399999999685,Take Profit
NESTLEIND-EQ,2025-12-08 14:50:00+05:30,2025-12-08 15:10:00+05:30,SHORT,1216.5,1214.2,378,869.3999999999828,End of Day
ULTRACEMCO-EQ,2025-12-10 14:05:00+05:30,2025-12-10 14:25:00+05:30,SHORT,11369.0,11347.0,97,2134.0,Take Profit
ULTRACEMCO-EQ,2025-12-10 14:30:00+05:30,2025-12-10 14:35:00+05:30,SHORT,11357.0,11349.0,272,2176.0,Take Profit
TECHM-EQ,2025-12-05 11:55:00+05:30,2025-12-05 12:05:00+05:30,LONG,1576.6,1579.7999999999997,694,2220.7999999998738,Take Profit
ADANIENT-EQ,2025-12-01 14:30:00+05:30,2025-12-01 15:10:00+05:30,SHORT,2269.6,2262.5,252,1789.199999999977,End of Day
ADANIENT-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,2207.1,2211.1,288,-1152.0,Stop Loss
ADANIENT-EQ,2025-12-11 14:00:00+05:30,2025-12-11 14:05:00+05:30,LONG,2277.5,2276.8,1629,-1140.2999999997037,Stop Loss
ADANIENT-EQ,2025-12-11 14:10:00+05:30,2025-12-11 14:20:00+05:30,LONG,2278.8,2282.4000000000005,627,2257.200000000228,Take Profit
ADANIENT-EQ,2025-12-11 14:25:00+05:30,2025-12-11 14:35:00+05:30,LONG,2284.9,2279.5,213,-1150.2000000000194,Stop Loss
POWERGRID-EQ,2025-12-08 14:05:00+05:30,2025-12-08 14:10:00+05:30,SHORT,265.3,265.5,5701,-1140.1999999999352,Stop Loss
POWERGRID-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,265.4,265.45,22576,-1128.8000000002567,Stop Loss
NTPC-EQ,2025-12-03 14:15:00+05:30,2025-12-03 14:35:00+05:30,SHORT,321.65,322.15,2235,-1117.5,Stop Loss
TATAMOTORS-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:05:00+05:30,SHORT,347.8,347.1000000000001,3160,2211.9999999997844,Take Profit
TATAMOTORS-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,346.5,346.85,3224,-1128.4000000000733,Stop Loss
TATAMOTORS-EQ,2025-12-08 14:25:00+05:30,2025-12-08 14:30:00+05:30,SHORT,346.8,347.0,5585,-1116.9999999999366,Stop Loss
TATAMOTORS-EQ,2025-12-10 11:00:00+05:30,2025-12-10 11:10:00+05:30,SHORT,342.3,343.0,1580,-1105.999999999982,Stop Loss
TATASTEEL-EQ,2025-12-08 14:05:00+05:30,2025-12-08 14:10:00+05:30,SHORT,164.03,163.89000000000001,15642,2189.8799999997864,Take Profit
TATASTEEL-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,163.79,163.59,11168,2233.599999999873,Take Profit
TATASTEEL-EQ,2025-12-12 14:00:00+05:30,2025-12-12 14:35:00+05:30,LONG,171.7,171.42,4068,-1139.0400000000045,Stop Loss
ADANIPORTS-EQ,2025-12-03 14:00:00+05:30,2025-12-03 14:10:00+05:30,SHORT,1490.3,1494.3,281,-1124.0,Stop Loss
BAJAJFINSV-EQ,2025-12-08 14:55:00+05:30,2025-12-08 15:00:00+05:30,SHORT,2042.7,2052.8,110,-1111.000000000015,Stop Loss
HINDALCO-EQ,2025-12-05 11:55:00+05:30,2025-12-05 12:00:00+05:30,LONG,826.55,826.4,7369,-1105.3499999998326,Stop Loss
HINDALCO-EQ,2025-12-12 14:10:00+05:30,2025-12-12 14:15:00+05:30,LONG,853.2,853.6000000000001,5471,2188.4000000004976,Take Profit
HINDALCO-EQ,2025-12-12 14:20:00+05:30,2025-12-12 14:30:00+05:30,LONG,854.3,853.45,1313,-1116.0499999998806,Stop Loss
JSWSTEEL-EQ,2025-12-03 14:15:00+05:30,2025-12-03 15:10:00+05:30,SHORT,1128.5,1141.7,33,-435.6000000000015,End of Day
JSWSTEEL-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,1122.6,1123.2,1834,-1100.4000000002502,Stop Loss
JSWSTEEL-EQ,2025-12-08 14:25:00+05:30,2025-12-08 14:35:00+05:30,SHORT,1121.3,1117.8999999999999,641,2179.4000000000583,Take Profit
JSWSTEEL-EQ,2025-12-08 14:50:00+05:30,2025-12-08 15:00:00+05:30,SHORT,1119.8,1121.9,529,-1110.9000000000722,Stop Loss
JSWSTEEL-EQ,2025-12-10 14:25:00+05:30,2025-12-10 14:30:00+05:30,SHORT,1098.1,1099.8,647,-1099.9000000000294,Stop Loss
INDUSINDBK-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,837.5,836.5,2178,2178.0,Take Profit
INDUSINDBK-EQ,2025-12-10 11:00:00+05:30,2025-12-10 12:20:00+05:30,SHORT,836.35,840.2,288,-1108.8000000000065,Stop Loss
INDUSINDBK-EQ,2025-12-10 14:00:00+05:30,2025-12-10 14:45:00+05:30,SHORT,836.6,834.0000000000001,846,2199.599999999923,Take Profit
GRASIM-EQ,2025-12-11 14:35:00+05:30,2025-12-11 15:00:00+05:30,LONG,2797.8,2794.0,295,-1121.0000000000537,Stop Loss
TATACONSUM-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:05:00+05:30,SHORT,1147.4,1146.0000000000005,1587,2221.7999999994227,Take Profit
TATACONSUM-EQ,2025-12-08 14:10:00+05:30,2025-12-08 14:30:00+05:30,SHORT,1146.9,1149.0,539,-1131.899999999951,Stop Loss
DIVISLAB-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:25:00+05:30,SHORT,6312.5,6292.5,112,2240.0,Take Profit
DIVISLAB-EQ,2025-12-08 14:30:00+05:30,2025-12-08 14:35:00+05:30,SHORT,6309.0,6297.0,190,2280.0,Take Profit
DIVISLAB-EQ,2025-12-08 14:40:00+05:30,2025-12-08 15:00:00+05:30,SHORT,6282.5,6296.5,83,-1162.0,Stop Loss
HEROMOTOCO-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,6170.0,6162.0,288,2304.0,Take Profit
HEROMOTOCO-EQ,2025-12-08 14:25:00+05:30,2025-12-08 14:30:00+05:30,SHORT,6167.0,6161.0,392,2352.0,Take Profit
HEROMOTOCO-EQ,2025-12-10 14:05:00+05:30,2025-12-10 14:10:00+05:30,SHORT,5932.5,5937.0,267,-1201.5,Stop Loss
HEROMOTOCO-EQ,2025-12-10 14:15:00+05:30,2025-12-10 14:25:00+05:30,SHORT,5925.0,5929.0,297,-1188.0,Stop Loss
HEROMOTOCO-EQ,2025-12-10 14:45:00+05:30,2025-12-10 15:00:00+05:30,SHORT,5928.5,5938.0,124,-1178.0,Stop Loss
BPCL-EQ,2025-12-01 14:25:00+05:30,2025-12-01 14:50:00+05:30,SHORT,354.95,353.05,1227,2331.299999999972,Take Profit
BPCL-EQ,2025-12-12 14:00:00+05:30,2025-12-12 15:00:00+05:30,LONG,362.7,363.7,2379,2379.0,Take Profit
