symbol,entry_time,exit_time,direction,entry_price,exit_price,quantity,pnl,exit_reason,entry_date
HINDUNILVR-EQ,2025-12-04 14:55:00+05:30,2025-12-04 15:00:00+05:30,LONG,2474.0,2471.4,384,-998.3999999999651,Stop Loss,2025-12-04
HINDUNILVR-EQ,2025-12-08 14:30:00+05:30,2025-12-08 14:35:00+05:30,SHORT,2308.9,2306.9,990,1980.0,Take Profit,2025-12-08
BHARTIARTL-EQ,2025-12-10 15:00:00+05:30,2025-12-10 15:10:00+05:30,SHORT,2067.5,2067.0,360,180.0,End of Day,2025-12-10
ASIANPAINT-EQ,2025-12-02 14:20:00+05:30,2025-12-02 14:55:00+05:30,LONG,2934.5,2942.1000000000004,266,2021.6000000000968,Take Profit,2025-12-02
LT-EQ,2025-12-02 15:05:00+05:30,2025-12-02 15:10:00+05:30,SHORT,4031.2,4030.7,119,59.5,End of Day,2025-12-02
TITAN-EQ,2025-12-03 14:05:00+05:30,2025-12-03 14:25:00+05:30,SHORT,3815.0,3805.8,224,2060.7999999999593,Take Profit,2025-12-03
TITAN-EQ,2025-12-08 15:00:00+05:30,2025-12-08 15:10:00+05:30,SHORT,3769.0,3766.6,167,400.8000000000152,End of Day,2025-12-08
NESTLEIND-EQ,2025-12-08 14:45:00+05:30,2025-12-08 14:50:00+05:30,SHORT,1218.0,1218.1,10570,-1056.9999999990387,Stop Loss,2025-12-08
ULTRACEMCO-EQ,2025-12-10 14:05:00+05:30,2025-12-10 14:25:00+05:30,SHORT,11369.0,11347.0,95,2090.0,Take Profit,2025-12-10
ULTRACEMCO-EQ,2025-12-10 14:30:00+05:30,2025-12-10 14:35:00+05:30,SHORT,11357.0,11349.0,266,2128.0,Take Profit,2025-12-10
TECHM-EQ,2025-12-01 15:00:00+05:30,2025-12-01 15:10:00+05:30,LONG,1530.9,1529.6,172,-223.6000000000313,End of Day,2025-12-01
ADANIENT-EQ,2025-12-01 14:30:00+05:30,2025-12-01 15:10:00+05:30,SHORT,2269.6,2262.5,241,1711.099999999978,End of Day,2025-12-01
ADANIENT-EQ,2025-12-11 14:00:00+05:30,2025-12-11 14:05:00+05:30,LONG,2277.5,2276.8,1576,-1103.1999999997133,Stop Loss,2025-12-11
ADANIENT-EQ,2025-12-11 14:10:00+05:30,2025-12-11 14:20:00+05:30,LONG,2278.8,2282.4000000000005,606,2181.6000000002205,Take Profit,2025-12-11
ADANIENT-EQ,2025-12-11 14:30:00+05:30,2025-12-11 14:35:00+05:30,LONG,2281.2,2281.0,5571,-1114.1999999989866,Stop Loss,2025-12-11
NTPC-EQ,2025-12-03 14:15:00+05:30,2025-12-03 14:35:00+05:30,SHORT,321.65,322.15,2206,-1103.0,Stop Loss,2025-12-03
ONGC-EQ,2025-12-08 15:00:00+05:30,2025-12-08 15:05:00+05:30,SHORT,238.7,238.86,6825,-1092.0000000001708,Stop Loss,2025-12-08
TATAMOTORS-EQ,2025-12-08 14:05:00+05:30,2025-12-08 14:10:00+05:30,SHORT,347.6,346.80000000000007,2703,2162.399999999877,Take Profit,2025-12-08
TATASTEEL-EQ,2025-12-08 14:50:00+05:30,2025-12-08 15:00:00+05:30,SHORT,163.28,163.72,2506,-1102.6399999999944,Stop Loss,2025-12-08
TATASTEEL-EQ,2025-12-12 14:00:00+05:30,2025-12-12 14:35:00+05:30,LONG,171.7,171.42,3899,-1091.7200000000043,Stop Loss,2025-12-12
ADANIPORTS-EQ,2025-12-03 14:05:00+05:30,2025-12-03 14:10:00+05:30,SHORT,1493.3,1494.0,1544,-1080.8000000000702,Stop Loss,2025-12-03
HINDALCO-EQ,2025-12-12 14:10:00+05:30,2025-12-12 14:15:00+05:30,LONG,853.2,853.6000000000001,5350,2140.0000000004866,Take Profit,2025-12-12
HINDALCO-EQ,2025-12-12 14:25:00+05:30,2025-12-12 14:30:00+05:30,LONG,854.0,853.5,2182,-1091.0,Stop Loss,2025-12-12
INDUSINDBK-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,837.5,836.5,2161,2161.0,Take Profit,2025-12-08
INDUSINDBK-EQ,2025-12-08 14:55:00+05:30,2025-12-08 15:00:00+05:30,SHORT,838.0,838.85,1296,-1101.6000000000295,Stop Loss,2025-12-08
INDUSINDBK-EQ,2025-12-10 14:00:00+05:30,2025-12-10 14:45:00+05:30,SHORT,836.6,834.0000000000001,839,2181.3999999999237,Take Profit,2025-12-10
GRASIM-EQ,2025-12-11 14:35:00+05:30,2025-12-11 15:00:00+05:30,LONG,2797.8,2794.0,292,-1109.6000000000531,Stop Loss,2025-12-11
TATACONSUM-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,1148.0,1147.4,3672,2203.199999999666,Take Profit,2025-12-08
TATACONSUM-EQ,2025-12-08 14:30:00+05:30,2025-12-08 14:50:00+05:30,SHORT,1148.7,1150.9,510,-1122.0000000000232,Stop Loss,2025-12-08
TATACONSUM-EQ,2025-12-08 15:00:00+05:30,2025-12-08 15:10:00+05:30,SHORT,1146.8,1146.9,618,-61.80000000008431,End of Day,2025-12-08
DIVISLAB-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,6312.5,6309.5,741,2223.0,Take Profit,2025-12-08
DIVISLAB-EQ,2025-12-08 14:25:00+05:30,2025-12-08 14:35:00+05:30,SHORT,6313.0,6306.0,324,2268.0,Take Profit,2025-12-08
BRITANNIA-EQ,2025-12-05 15:00:00+05:30,2025-12-05 15:10:00+05:30,LONG,5958.0,5960.5,92,230.0,End of Day,2025-12-05
HEROMOTOCO-EQ,2025-12-08 14:50:00+05:30,2025-12-08 14:55:00+05:30,SHORT,6160.0,6160.5,2318,-1159.0,Stop Loss,2025-12-08
HEROMOTOCO-EQ,2025-12-10 14:45:00+05:30,2025-12-10 15:00:00+05:30,SHORT,5928.5,5938.0,120,-1140.0,Stop Loss,2025-12-10
CIPLA-EQ,2025-12-08 15:05:00+05:30,2025-12-08 15:10:00+05:30,SHORT,1498.7,1498.9,473,-94.60000000002151,End of Day,2025-12-08
APOLLOHOSP-EQ,2025-12-10 15:00:00+05:30,2025-12-10 15:10:00+05:30,SHORT,7016.5,7016.5,283,0.0,End of Day,2025-12-10
BPCL-EQ,2025-12-01 14:25:00+05:30,2025-12-01 14:50:00+05:30,SHORT,354.95,353.05,1195,2270.4999999999727,Take Profit,2025-12-01
BPCL-EQ,2025-12-12 14:00:00+05:30,2025-12-12 15:00:00+05:30,LONG,362.7,363.7,2316,2316.0,Take Profit,2025-12-12
TRENT-EQ,2025-12-08 14:20:00+05:30,2025-12-08 14:25:00+05:30,SHORT,4097.9,4092.8999999999996,472,2360.0,Take Profit,2025-12-08
TRENT-EQ,2025-12-08 14:50:00+05:30,2025-12-08 15:00:00+05:30,SHORT,4082.9,4096.0,91,-1192.0999999999917,Stop Loss,2025-12-08
TRENT-EQ,2025-12-10 14:00:00+05:30,2025-12-10 14:50:00+05:30,SHORT,4043.1,4018.1,95,2375.0,Take Profit,2025-12-10
TRENT-EQ,2025-12-10 15:00:00+05:30,2025-12-10 15:05:00+05:30,SHORT,4024.0,4019.0,486,2430.0,Take Profit,2025-12-10
