symbol,entry_time,exit_time,entry_price,exit_price,quantity,pattern,pnl,pnl_pct,exit_reason
NTPC-EQ,2025-12-04 12:35:00+05:30,2025-12-04 12:35:00+05:30,323.25,323.25,100,Double Top,-64.65000000000146,-0.1998001998002043,stop_loss
DIVISLAB-EQ,2025-12-04 12:35:00+05:30,2025-12-04 12:35:00+05:30,6475.5,6475.5,100,Double Top,-1295.1000000000931,-0.19980019980021416,stop_loss
TATACONSUM-EQ,2025-12-04 12:35:00+05:30,2025-12-04 12:35:00+05:30,1140.0,1140.0,100,Double Top,-228.0,-0.1998001998001998,stop_loss
BRITANNIA-EQ,2025-12-04 12:35:00+05:30,2025-12-04 12:35:00+05:30,5861.0,5861.0,100,Double Top,-1172.1999999999534,-0.19980019980019187,stop_loss
RELIANCE-EQ,2025-12-04 12:36:00+05:30,2025-12-04 12:36:00+05:30,1547.4,1547.4,100,Double Top,-309.4799999999814,-0.1998001998001878,stop_loss
TITAN-EQ,2025-12-04 12:36:00+05:30,2025-12-04 12:36:00+05:30,3803.1,3803.1,100,Double Top,-760.6199999999953,-0.19980019980019859,stop_loss
NTPC-EQ,2025-12-04 12:36:00+05:30,2025-12-04 12:36:00+05:30,323.25,323.25,100,Double Top,-64.65000000000146,-0.1998001998002043,stop_loss
DIVISLAB-EQ,2025-12-04 12:36:00+05:30,2025-12-04 12:36:00+05:30,6474.0,6474.0,100,Double Top,-1294.8000000000466,-0.199800199800207,stop_loss
TATACONSUM-EQ,2025-12-04 12:36:00+05:30,2025-12-04 12:36:00+05:30,1140.0,1140.0,100,Double Top,-228.0,-0.1998001998001998,stop_loss
APOLLOHOSP-EQ,2025-12-04 12:36:00+05:30,2025-12-04 12:36:00+05:30,7194.0,7194.0,100,Double Top,-1438.8000000000466,-0.19980019980020627,stop_loss
BRITANNIA-EQ,2025-12-04 12:36:00+05:30,2025-12-04 12:36:00+05:30,5863.0,5863.0,100,Double Top,-1172.6000000000931,-0.19980019980021568,stop_loss
RELIANCE-EQ,2025-12-04 12:37:00+05:30,2025-12-04 12:37:00+05:30,1547.6,1547.6,100,Double Top,-309.5200000000186,-0.19980019980021183,stop_loss
KOTAKBANK-EQ,2025-12-04 12:37:00+05:30,2025-12-04 12:37:00+05:30,2127.3,2127.3,100,Double Top,-425.46000000002095,-0.1998001998002096,stop_loss
NTPC-EQ,2025-12-04 12:37:00+05:30,2025-12-04 12:37:00+05:30,323.55,323.55,100,Double Top,-64.70999999999913,-0.19980019980019711,stop_loss
DIVISLAB-EQ,2025-12-04 12:37:00+05:30,2025-12-04 12:37:00+05:30,6476.0,6476.0,100,Double Top,-1295.1999999999534,-0.19980019980019265,stop_loss
APOLLOHOSP-EQ,2025-12-04 12:37:00+05:30,2025-12-04 12:37:00+05:30,7190.0,7190.0,100,Double Top,-1438.0,-0.1998001998001998,stop_loss
RELIANCE-EQ,2025-12-04 12:38:00+05:30,2025-12-04 12:38:00+05:30,1547.5,1547.5,100,Double Top,-309.5,-0.1998001998001998,stop_loss
BHARTIARTL-EQ,2025-12-04 12:38:00+05:30,2025-12-04 12:38:00+05:30,2082.7,2082.7,100,Double Top,-416.53999999997905,-0.1998001998001898,stop_loss
BAJAJFINSV-EQ,2025-12-04 12:38:00+05:30,2025-12-04 12:38:00+05:30,2049.9,2049.9,100,Double Top,-409.9799999999814,-0.19980019980019073,stop_loss
DIVISLAB-EQ,2025-12-04 12:38:00+05:30,2025-12-04 12:38:00+05:30,6475.0,6475.0,100,Double Top,-1295.0,-0.1998001998001998,stop_loss
TATACONSUM-EQ,2025-12-04 12:38:00+05:30,2025-12-04 12:38:00+05:30,1140.0,1140.0,100,Double Top,-228.0,-0.1998001998001998,stop_loss
APOLLOHOSP-EQ,2025-12-04 12:38:00+05:30,2025-12-04 12:38:00+05:30,7190.0,7190.0,100,Double Top,-1438.0,-0.1998001998001998,stop_loss
RELIANCE-EQ,2025-12-04 12:39:00+05:30,2025-12-04 12:39:00+05:30,1547.4,1547.4,100,Double Top,-309.4799999999814,-0.1998001998001878,stop_loss
KOTAKBANK-EQ,2025-12-04 12:39:00+05:30,2025-12-04 12:39:00+05:30,2127.3,2127.3,100,Double Top,-425.46000000002095,-0.1998001998002096,stop_loss
TITAN-EQ,2025-12-04 12:39:00+05:30,2025-12-04 12:39:00+05:30,3799.0,3799.0,100,Double Top,-759.8000000000466,-0.19980019980021202,stop_loss
JSWSTEEL-EQ,2025-12-04 12:39:00+05:30,2025-12-04 12:39:00+05:30,1147.3,1147.3,100,Double Top,-229.45999999999185,-0.19980019980019273,stop_loss
BPCL-EQ,2025-12-04 12:39:00+05:30,2025-12-04 12:39:00+05:30,354.5,354.5,100,Double Top,-70.89999999999418,-0.1998001998001834,stop_loss
DIVISLAB-EQ,2025-12-04 12:39:00+05:30,2025-12-04 12:39:00+05:30,6475.0,6475.0,100,Double Top,-1295.0,-0.1998001998001998,stop_loss
APOLLOHOSP-EQ,2025-12-04 12:39:00+05:30,2025-12-04 12:39:00+05:30,7190.5,7190.5,100,Double Top,-1438.1000000000931,-0.1998001998002127,stop_loss
SBIN-EQ,2025-12-04 12:40:00+05:30,2025-12-04 12:40:00+05:30,945.65,945.65,100,Double Top,-189.13000000000466,-0.1998001998002047,stop_loss
KOTAKBANK-EQ,2025-12-04 12:40:00+05:30,2025-12-04 12:40:00+05:30,2126.5,2126.5,100,Double Top,-425.29999999998836,-0.19980019980019434,stop_loss
TITAN-EQ,2025-12-04 12:40:00+05:30,2025-12-04 12:40:00+05:30,3797.8,3797.8,100,Double Top,-759.5600000000559,-0.1998001998002145,stop_loss
BAJAJFINSV-EQ,2025-12-04 12:40:00+05:30,2025-12-04 12:40:00+05:30,2046.1,2046.1,100,Double Top,-409.21999999997206,-0.19980019980018618,stop_loss
JSWSTEEL-EQ,2025-12-04 12:40:00+05:30,2025-12-04 12:40:00+05:30,1147.4,1147.4,100,Double Top,-229.48000000001048,-0.1998001998002089,stop_loss
DIVISLAB-EQ,2025-12-04 12:40:00+05:30,2025-12-04 12:40:00+05:30,6475.0,6475.0,100,Double Top,-1295.0,-0.1998001998001998,stop_loss
TATACONSUM-EQ,2025-12-04 12:40:00+05:30,2025-12-04 12:40:00+05:30,1139.6,1139.6,100,Double Top,-227.9200000000128,-0.19980019980021102,stop_loss
APOLLOHOSP-EQ,2025-12-04 12:40:00+05:30,2025-12-04 12:40:00+05:30,7189.0,7189.0,100,Double Top,-1437.8000000000466,-0.19980019980020627,stop_loss
UPL-EQ,2025-12-04 12:40:00+05:30,2025-12-04 12:40:00+05:30,752.8,752.8,100,Double Top,-150.55999999999767,-0.19980019980019673,stop_loss
SBIN-EQ,2025-12-04 12:41:00+05:30,2025-12-04 12:41:00+05:30,945.55,945.55,100,Double Top,-189.10999999998603,-0.19980019980018504,stop_loss
KOTAKBANK-EQ,2025-12-04 12:41:00+05:30,2025-12-04 12:41:00+05:30,2127.1,2127.1,100,Double Top,-425.4199999999837,-0.19980019980019217,stop_loss
TITAN-EQ,2025-12-04 12:41:00+05:30,2025-12-04 12:41:00+05:30,3800.4,3800.4,100,Double Top,-760.0799999999581,-0.1998001998001888,stop_loss
BAJAJFINSV-EQ,2025-12-04 12:41:00+05:30,2025-12-04 12:41:00+05:30,2043.3,2043.3,100,Double Top,-408.6599999999744,-0.19980019980018732,stop_loss
DIVISLAB-EQ,2025-12-04 12:41:00+05:30,2025-12-04 12:41:00+05:30,6475.5,6475.5,100,Double Top,-1295.1000000000931,-0.19980019980021416,stop_loss
