symbol,entry_time,exit_time,entry_price,exit_price,quantity,pattern,pnl,pnl_pct,exit_reason,confidence,rr_ratio
BRITANNIA-EQ,2025-11-10 09:15:00+05:30,2025-11-10 14:30:00+05:30,6202.0,6134.5,100,Ascending Triangle,-7983.649999999907,-1.2859842511567612,stop_loss,78.77142857142857,45.921061711649145
INDUSINDBK-EQ,2025-11-10 14:30:00+05:30,2025-11-10 14:45:00+05:30,800.2,798.8,100,Symmetrical Triangle,-299.90000000000873,-0.3744068977760664,stop_loss,72.0,7.254431031947412
ONGC-EQ,2025-11-11 09:15:00+05:30,2025-11-11 10:00:00+05:30,251.9,249.15,100,Falling Wedge,-325.10499999999956,-1.2893220316801086,stop_loss,66.0,2.0720333789118275
HDFCLIFE-EQ,2025-11-11 15:00:00+05:30,2025-11-11 15:15:00+05:30,764.0,764.35,100,Rising Wedge,-117.83499999999185,-0.15408021298072588,target,69.0,2.5343220773179844
TCS-EQ,2025-11-11 15:00:00+05:30,2025-11-12 09:15:00+05:30,3046.4,3090.0,100,Symmetrical Triangle,3746.359999999986,1.2285377437688316,target,72.0,3.437961601340851
BPCL-EQ,2025-11-12 09:15:00+05:30,2025-11-12 09:30:00+05:30,375.85,378.75,100,Rising Wedge,214.54000000000087,0.5702425816833183,target,69.0,2.502370275463931
INDUSINDBK-EQ,2025-11-12 09:30:00+05:30,2025-11-12 12:30:00+05:30,837.05,863.2,100,Symmetrical Triangle,2444.9749999999913,2.918024571450282,target,75.88455255037209,2.7183724087899943
M&M-EQ,2025-11-11 15:15:00+05:30,2025-11-12 15:15:00+05:30,3745.1,3740.3,100,Symmetrical Triangle,-1228.5400000000373,-0.32771159309837505,end_of_backtest,73.69978517722878,3.470106927011979
JSWSTEEL-EQ,2025-11-12 14:15:00+05:30,2025-11-12 15:15:00+05:30,1188.6,1184.7,100,Symmetrical Triangle,-627.3299999999872,-0.5272617337231061,end_of_backtest,67.0,2.598613056556867
ONGC-EQ,2025-11-12 14:45:00+05:30,2025-11-12 15:15:00+05:30,253.8,253.9,100,Symmetrical Triangle,-40.77000000000044,-0.16047782005228986,end_of_backtest,67.0,2.891357836312155
BAJAJFINSV-EQ,2025-11-12 15:15:00+05:30,2025-11-12 15:15:00+05:30,2039.0,2039.0,100,Rising Wedge,-407.79999999998836,-0.19980019980019412,end_of_backtest,74.0,3.8370954757893085
TECHM-EQ,2025-11-12 15:15:00+05:30,2025-11-12 15:15:00+05:30,1457.0,1457.0,100,Rising Wedge,-291.4000000000233,-0.19980019980021577,end_of_backtest,74.0,2.6764157398337427
