symbol,entry_time,exit_time,direction,entry_price,exit_price,quantity,pnl,exit_reason
RELIANCE-EQ,2025-09-08 12:55:00+05:30,2025-09-08 13:15:00+05:30,LONG,1384.4,1382.1,434,-998.200000000079,Stop Loss
RELIANCE-EQ,2025-09-08 14:30:00+05:30,2025-09-08 14:35:00+05:30,LONG,1384.9,1382.9,495,-990.0,Stop Loss
RELIANCE-EQ,2025-09-11 11:00:00+05:30,2025-09-11 11:20:00+05:30,LONG,1384.9,1383.2,576,-979.2000000000262,Stop Loss
RELIANCE-EQ,2025-09-12 11:00:00+05:30,2025-09-12 15:10:00+05:30,LONG,1393.1,1395.2,334,701.4000000000456,End of Day
RELIANCE-EQ,2025-09-15 13:15:00+05:30,2025-09-15 13:40:00+05:30,LONG,1398.2,1395.4,349,-977.1999999999841,Stop Loss
RELIANCE-EQ,2025-09-15 14:05:00+05:30,2025-09-15 14:15:00+05:30,LONG,1398.0,1396.7,744,-967.1999999999662,Stop Loss
RELIANCE-EQ,2025-09-17 13:40:00+05:30,2025-09-17 13:45:00+05:30,LONG,1414.2,1414.0,4789,-957.8000000002178,Stop Loss
RELIANCE-EQ,2025-09-19 13:35:00+05:30,2025-09-19 13:45:00+05:30,LONG,1412.9,1411.7,790,-948.0000000000359,Stop Loss
RELIANCE-EQ,2025-09-22 14:25:00+05:30,2025-09-22 15:10:00+05:30,SHORT,1394.6,1390.2,144,633.5999999999804,End of Day
RELIANCE-EQ,2025-09-23 10:55:00+05:30,2025-09-23 12:30:00+05:30,SHORT,1380.4,1386.5,154,-939.399999999986,Stop Loss
RELIANCE-EQ,2025-09-25 11:55:00+05:30,2025-09-25 12:15:00+05:30,SHORT,1374.5,1377.0,374,-935.0,Stop Loss
RELIANCE-EQ,2025-09-25 15:00:00+05:30,2025-09-25 15:10:00+05:30,SHORT,1370.5,1373.3,330,-923.999999999985,Stop Loss
RELIANCE-EQ,2025-09-29 11:35:00+05:30,2025-09-29 15:10:00+05:30,SHORT,1378.6,1377.0,155,247.9999999999859,End of Day
RELIANCE-EQ,2025-10-01 14:15:00+05:30,2025-10-01 14:20:00+05:30,SHORT,1365.9,1366.7,1149,-919.1999999999477,Stop Loss
RELIANCE-EQ,2025-10-01 14:40:00+05:30,2025-10-01 14:45:00+05:30,SHORT,1367.2,1369.2,455,-910.0,Stop Loss
RELIANCE-EQ,2025-10-03 12:30:00+05:30,2025-10-03 13:05:00+05:30,SHORT,1358.2,1361.5,273,-900.8999999999876,Stop Loss
RELIANCE-EQ,2025-10-07 13:35:00+05:30,2025-10-07 14:35:00+05:30,LONG,1392.1,1387.3,185,-887.9999999999916,Stop Loss
RELIANCE-EQ,2025-10-10 13:20:00+05:30,2025-10-10 13:25:00+05:30,LONG,1387.1,1385.5,552,-883.1999999999498,Stop Loss
RELIANCE-EQ,2025-10-16 14:00:00+05:30,2025-10-16 14:45:00+05:30,LONG,1388.2,1395.0000000000002,257,1747.6000000000467,Take Profit
RELIANCE-EQ,2025-10-16 15:00:00+05:30,2025-10-16 15:05:00+05:30,LONG,1400.0,1398.0,446,-892.0,Stop Loss
RELIANCE-EQ,2025-10-17 11:45:00+05:30,2025-10-17 11:50:00+05:30,LONG,1416.8,1414.0,315,-881.9999999999857,Stop Loss
RELIANCE-EQ,2025-10-17 12:10:00+05:30,2025-10-17 12:15:00+05:30,LONG,1421.4,1419.7,514,-873.8000000000234,Stop Loss
RELIANCE-EQ,2025-10-17 12:20:00+05:30,2025-10-17 12:35:00+05:30,LONG,1422.5,1419.7,309,-865.199999999986,Stop Loss
RELIANCE-EQ,2025-10-17 12:40:00+05:30,2025-10-17 12:45:00+05:30,LONG,1420.8,1419.0,476,-856.7999999999784,Stop Loss
RELIANCE-EQ,2025-10-20 12:50:00+05:30,2025-10-20 13:00:00+05:30,LONG,1469.5,1473.1,471,1695.5999999999572,Take Profit
RELIANCE-EQ,2025-10-20 13:15:00+05:30,2025-10-20 13:25:00+05:30,LONG,1472.6,1471.4,721,-865.1999999998689,Stop Loss
RELIANCE-EQ,2025-10-24 13:00:00+05:30,2025-10-24 13:20:00+05:30,LONG,1458.1,1455.2,295,-855.4999999999598,Stop Loss
RELIANCE-EQ,2025-10-24 15:00:00+05:30,2025-10-24 15:10:00+05:30,LONG,1453.3,1452.4,180,-161.99999999997544,End of Day
RELIANCE-EQ,2025-10-27 15:05:00+05:30,2025-10-27 15:10:00+05:30,LONG,1484.3,1484.1,769,-153.80000000003497,End of Day
RELIANCE-EQ,2025-10-30 11:15:00+05:30,2025-10-30 11:50:00+05:30,LONG,1499.1,1496.4,312,-842.3999999999432,Stop Loss
RELIANCE-EQ,2025-11-04 13:15:00+05:30,2025-11-04 13:25:00+05:30,SHORT,1480.0,1482.3,363,-834.8999999999835,Stop Loss
RELIANCE-EQ,2025-11-04 14:10:00+05:30,2025-11-04 14:45:00+05:30,SHORT,1479.8,1475.3999999999999,376,1654.4000000000342,Take Profit
RELIANCE-EQ,2025-11-04 15:00:00+05:30,2025-11-04 15:10:00+05:30,SHORT,1473.3,1471.9,131,183.39999999998213,End of Day
RELIANCE-EQ,2025-11-07 15:00:00+05:30,2025-11-07 15:10:00+05:30,SHORT,1477.8,1476.9,769,692.0999999998951,End of Day
RELIANCE-EQ,2025-11-10 11:25:00+05:30,2025-11-10 11:55:00+05:30,LONG,1499.0,1494.8,203,-852.6000000000092,Stop Loss
RELIANCE-EQ,2025-11-12 12:45:00+05:30,2025-11-12 14:10:00+05:30,LONG,1523.0,1519.0,211,-844.0,Stop Loss
RELIANCE-EQ,2025-11-13 11:15:00+05:30,2025-11-13 13:40:00+05:30,LONG,1516.4,1521.2000000000003,348,1670.4000000000633,Take Profit
RELIANCE-EQ,2025-11-14 15:05:00+05:30,2025-11-14 15:10:00+05:30,LONG,1520.7,1520.1,237,-142.20000000003233,End of Day
RELIANCE-EQ,2025-11-18 13:05:00+05:30,2025-11-18 13:20:00+05:30,LONG,1522.5,1525.9,501,1703.4000000000456,Take Profit
RELIANCE-EQ,2025-11-18 13:40:00+05:30,2025-11-18 13:45:00+05:30,LONG,1525.3,1524.2,789,-867.8999999999282,Stop Loss
RELIANCE-EQ,2025-11-18 14:10:00+05:30,2025-11-18 14:15:00+05:30,LONG,1526.1,1527.2999999999997,1433,1719.5999999997393,Take Profit
RELIANCE-EQ,2025-11-20 10:35:00+05:30,2025-11-20 11:00:00+05:30,LONG,1540.2,1538.2,438,-876.0,Stop Loss
RELIANCE-EQ,2025-11-20 12:15:00+05:30,2025-11-20 12:40:00+05:30,LONG,1547.1,1544.1,289,-867.0,Stop Loss
RELIANCE-EQ,2025-11-20 13:15:00+05:30,2025-11-20 13:20:00+05:30,LONG,1546.0,1544.5,573,-859.5,Stop Loss
RELIANCE-EQ,2025-11-20 14:05:00+05:30,2025-11-20 14:25:00+05:30,LONG,1548.5,1546.9,532,-851.1999999999516,Stop Loss
RELIANCE-EQ,2025-11-20 15:00:00+05:30,2025-11-20 15:10:00+05:30,LONG,1548.9,1549.5,247,148.19999999997754,End of Day
RELIANCE-EQ,2025-11-26 10:45:00+05:30,2025-11-26 12:50:00+05:30,LONG,1561.3,1568.0999999999997,248,1686.3999999999323,Take Profit
RELIANCE-EQ,2025-11-26 13:15:00+05:30,2025-11-26 13:20:00+05:30,LONG,1564.7,1564.0,1230,-861.0000000000559,Stop Loss
RELIANCE-EQ,2025-11-26 13:40:00+05:30,2025-11-26 13:55:00+05:30,LONG,1562.2,1564.0000000000002,947,1704.6000000001723,Take Profit
